order_id,settlement_date,amount,reference_note,fee,status
ORD-00067,2026-08-03,174618.77,REF-TXN1398,4993.21,Settled
ORD-00068,2026-08-21,90349.13,REF-TXN1153,0.0,Settled
ORD-00069,2026-08-10,65701.42,REF-TXN1135,0.0,Settled
ORD-00070,2026-08-05,126853.55,REF-TXN1118,0.0,Settled
ORD-00071,2026-08-06,122221.01,REF-TXN1125,0.0,Settled
ORD-00072,2026-08-14,196361.31,REF-TXN1338,2264.33,Settled
ORD-00073,2026-08-19,174509.35,REF-TXN1401,1833.97,Settled
ORD-00074,2026-08-16,46861.65,REF-TXN1134,0.0,Settled
ORD-00075,2026-08-10,127190.74,REF-TXN1131,0.0,Settled
ORD-00076,2026-08-09,139057.11,REF-TXN1119,0.0,Settled
ORD-00077,2026-08-16,6333.28,REF-TXN1078,0.0,Settled
ORD-00078,2026-08-25,283585.47,REF-TXN1410,0.0,Settled
ORD-00079,2026-08-11,280444.52,REF-TXN1149,0.0,Settled
ORD-00080,2026-08-01,204244.88,REF-TXN1062,0.0,Settled
ORD-00081,2026-08-21,262390.21,REF-TXN1341,5136.51,Settled
ORD-00082,2026-08-04,22441.59,REF-TXN1157,0.0,Settled
ORD-00083,2026-08-04,23035.54,REF-TXN1182,0.0,Settled
ORD-00084,2026-08-15,201796.84,REF-TXN1396,4962.22,Settled
ORD-00085,2026-08-08,259449.41,REF-TXN1195,0.0,Settled
ORD-00086,2026-08-11,31111.98,REF-TXN1017,0.0,Settled
ORD-00087,2026-08-05,217144.09,REF-TXN1105,0.0,Settled
ORD-00088,2026-08-15,158969.75,REF-TXN1060,0.0,Settled
ORD-00089,2026-08-17,24493.38,REF-TXN1141,0.0,Settled
ORD-00090,2026-08-19,122693.21,REF-TXN1423,0.0,Settled
ORD-00091,2026-08-17,100325.86,REF-TXN1407,0.0,Settled
ORD-00092,2026-08-03,271673.29,REF-TXN1101,0.0,Settled
ORD-00093,2026-08-04,203171.5,REF-TXN1004,0.0,Settled
ORD-00094,2026-08-08,121430.78,REF-TXN1144,0.0,Settled
ORD-00095,2026-08-18,18756.79,REF-TXN1137,0.0,Settled
ORD-00096,2026-08-01,200525.03,REF-TXN1165,0.0,Settled
ORD-00097,2026-08-23,21331.77,REF-TXN1026,0.0,Settled
ORD-00098,2026-08-07,287185.32,REF-TXN1016,0.0,Settled
ORD-00099,2026-08-08,260011.86,REF-TXN1029,0.0,Settled
ORD-00100,2026-08-04,69333.39,REF-TXN1460,0.0,Settled
ORD-00101,2026-08-02,257648.68,REF-TXN1204,0.0,Settled
ORD-00102,2026-08-17,128308.86,REF-TXN1272,0.0,Settled
ORD-00103,2026-08-19,284111.36,REF-TXN1082,0.0,Settled
ORD-00104,2026-08-17,142219.26,REF-TXN1245,0.0,Settled
ORD-00105,2026-08-26,5574.3,REF-TXN1356,90.06,Settled
ORD-00106,2026-08-11,139763.96,REF-TXN1243,0.0,Settled
ORD-00107,2026-08-13,186103.26,REF-TXN1466,0.0,Settled
ORD-00108,2026-08-21,206604.51,REF-TXN1039,0.0,Settled
ORD-00109,2026-08-15,114146.9,REF-TXN1038,0.0,Settled
ORD-00110,2026-08-22,276270.87,REF-TXN1229,0.0,Settled
ORD-00111,2026-08-26,139660.65,REF-TXN1267,0.0,Settled
ORD-00112,2026-08-07,93569.67,REF-TXN1422,0.0,Settled
ORD-00113,2026-08-25,156629.29,REF-TXN1278,0.0,Settled
ORD-00114,2026-08-19,262972.1,REF-TXN1045,0.0,Settled
ORD-00115,2026-08-05,198095.37,REF-TXN1086,0.0,Settled
ORD-00116,2026-08-26,232301.66,REF-TXN1390,5177.04,Settled
ORD-00117,2026-08-08,7587.5,REF-TXN1208,0.0,Settled
ORD-00118,2026-08-17,261793.7,REF-TXN1088,0.0,Settled
ORD-00119,2026-08-25,274072.34,REF-TXN1442,0.0,Settled
ORD-00120,2026-08-25,22312.05,REF-TXN1255,0.0,Settled
ORD-00121,2026-08-10,96552.53,REF-TXN1496,1799.85,Settled
ORD-00122,2026-08-14,199646.37,REF-TXN1236,0.0,Settled
ORD-00123,2026-08-26,13137.29,REF-TXN1462,0.0,Settled
ORD-00124,2026-08-17,296373.79,REF-TXN1268,0.0,Settled
ORD-00125,2026-08-14,179124.5,REF-TXN1058,0.0,Settled
ORD-00126,2026-08-20,46138.51,REF-TXN1323,0.0,Settled
ORD-00127,2026-08-02,212781.19,REF-TXN1223,0.0,Settled
ORD-00128,2026-08-18,247565.7,REF-TXN1413,0.0,Settled
ORD-00129,2026-08-25,198739.87,REF-TXN1402,3108.46,Settled
ORD-00130,2026-08-02,73830.34,REF-TXN1253,0.0,Settled
ORD-00131,2026-08-16,64517.32,REF-TXN1126,0.0,Settled
ORD-00132,2026-08-24,95579.78,REF-TXN1399,1455.53,Settled
ORD-00133,2026-08-03,226856.76,REF-TXN1055,0.0,Settled
ORD-00134,2026-08-13,260975.24,REF-TXN1446,0.0,Settled
ORD-00135,2026-08-01,269723.11,REF-TXN1417,0.0,Settled
ORD-00136,2026-08-19,36867.11,REF-TXN1420,0.0,Settled
ORD-00137,2026-08-21,250316.07,REF-TXN1031,0.0,Settled
ORD-00138,2026-08-26,274951.23,REF-TXN1391,5182.47,Settled
ORD-00139,2026-08-07,25503.24,REF-TXN1353,637.84,Settled
ORD-00140,2026-08-09,53981.06,REF-TXN1216,0.0,Settled
ORD-00141,2026-08-24,236035.24,REF-TXN1219,0.0,Settled
ORD-00142,2026-08-03,65982.07,REF-TXN1007,0.0,Settled
ORD-00143,2026-08-13,83753.09,REF-TXN1030,0.0,Settled
ORD-00144,2026-08-12,53684.04,REF-TXN1367,558.7,Settled
ORD-00145,2026-08-22,98523.68,REF-TXN1473-A,0.0,Settled
ORD-00146,2026-08-25,70843.15,REF-TXN1250,0.0,Settled
ORD-00147,2026-08-10,74855.54,REF-TXN1361,939.86,Settled
ORD-00148,2026-08-23,91103.88,REF-TXN1163,0.0,Settled
ORD-00149,2026-08-02,173964.5,REF-TXN1136,0.0,Settled
ORD-00150,2026-08-21,51756.03,REF-TXN1036,0.0,Settled
ORD-00151,2026-08-08,30231.55,REF-TXN1335,787.89,Settled
ORD-00152,2026-08-11,97320.5,REF-TXN1412,0.0,Settled
ORD-00153,2026-08-26,291672.78,REF-TXN1188,0.0,Settled
ORD-00154,2026-08-22,239543.63,REF-TXN1303,0.0,Settled
ORD-00155,2026-08-07,251849.04,REF-TXN1322,0.0,Settled
ORD-00156,2026-08-15,136875.71,REF-TXN1438,0.0,Settled
ORD-00157,2026-08-21,299671.25,REF-TXN1435,0.0,Settled
ORD-00158,2026-08-01,91510.55,REF-TXN1240,0.0,Settled
ORD-00159,2026-08-22,31524.16,REF-TXN1167,0.0,Settled
ORD-00160,2026-08-04,245899.22,REF-TXN1366,3972.97,Settled
ORD-00161,2026-08-13,73573.34,REF-TXN1259,0.0,Settled
ORD-00162,2026-08-17,16734.12,REF-TXN1415,0.0,Settled
ORD-00163,2026-08-04,137210.32,REF-TXN1266,0.0,Settled
ORD-00164,2026-08-18,258303.52,REF-TXN1061,0.0,Settled
ORD-00165,2026-08-13,29466.55,REF-TXN1018,0.0,Settled
ORD-00166,2026-08-23,46265.18,REF-TXN1285,0.0,Settled
ORD-00167,2026-08-25,74548.3,REF-TXN1276,0.0,Settled
ORD-00168,2026-08-10,152383.19,REF-TXN1232,0.0,Settled
ORD-00169,2026-08-20,299537.11,REF-TXN1156,0.0,Settled
ORD-00170,2026-08-24,73820.87,REF-TXN1037,0.0,Settled
ORD-00171,2026-08-17,180804.61,REF-TXN1008,0.0,Settled
ORD-00172,2026-08-06,181964.86,REF-TXN1328,0.0,Settled
ORD-00173,2026-08-02,74046.89,REF-TXN1373,2070.39,Settled
ORD-00174,2026-08-04,233636.91,REF-TXN1262,0.0,Settled
ORD-00175,2026-08-22,8617.06,REF-TXN1308,0.0,Settled
ORD-00176,2026-08-12,177781.01,REF-TXN1475-A,0.0,Settled
ORD-00177,2026-08-05,138703.64,REF-TXN1424,0.0,Settled
ORD-00178,2026-08-03,79678.84,REF-TXN1474-A,0.0,Settled
ORD-00179,2026-08-21,79257.27,REF-TXN1343,2132.41,Settled
ORD-00180,2026-08-05,127694.47,REF-TXN1342,3233.93,Settled
ORD-00181,2026-08-12,154976.71,REF-TXN1498,4513.58,Settled
ORD-00182,2026-08-16,208255.27,REF-TXN1409,0.0,Settled
ORD-00183,2026-08-07,152012.47,REF-TXN1158,0.0,Settled
ORD-00184,2026-08-23,60744.74,REF-TXN1091,0.0,Settled
ORD-00185,2026-08-10,67779.88,REF-TXN1251,0.0,Settled
ORD-00186,2026-08-24,46788.72,REF-TXN1194,0.0,Settled
ORD-00187,2026-08-18,37992.91,REF-TXN1368,418.69,Settled
ORD-00188,2026-08-13,204346.44,REF-TXN1357,3343.81,Settled
ORD-00189,2026-08-18,134051.13,REF-TXN1273,0.0,Settled
ORD-00190,2026-08-14,280307.39,REF-TXN1432,0.0,Settled
ORD-00191,2026-08-16,296529.99,REF-TXN1443,0.0,Settled
ORD-00192,2026-08-18,11290.43,REF-TXN1184,0.0,Settled
ORD-00193,2026-08-16,2265.88,REF-TXN1294,0.0,Settled
ORD-00194,2026-08-13,187166.19,REF-TXN1451,0.0,Settled
ORD-00195,2026-08-26,13137.29,REF-TXN1461,0.0,Settled
ORD-00196,2026-08-09,48179.75,REF-TXN1202,0.0,Settled
ORD-00197,2026-08-05,82068.29,REF-TXN1170,0.0,Settled
ORD-00198,2026-08-14,186978.84,REF-TXN1416,0.0,Settled
ORD-00199,2026-08-26,261461.25,REF-TXN1207,0.0,Settled
ORD-00200,2026-08-03,169210.21,REF-TXN1375,4107.63,Settled
ORD-00201,2026-08-24,141952.3,REF-TXN1364,3565.18,Settled
ORD-00202,2026-08-08,113281.12,REF-TXN1458,0.0,Settled
ORD-00203,2026-08-15,202850.36,REF-TXN1244,0.0,Settled
ORD-00204,2026-08-22,65682.46,REF-TXN1473-B,0.0,Settled
ORD-00205,2026-08-26,54427.04,REF-TXN1446,0.0,Settled
ORD-00206,2026-08-04,169408.89,REF-TXN1325,0.0,Settled
ORD-00207,2026-08-15,161100.31,REF-TXN1021,0.0,Settled
ORD-00208,2026-08-04,29530.78,REF-TXN1109,0.0,Settled
ORD-00209,2026-08-14,169995.45,REF-TXN1436,0.0,Settled
ORD-00210,2026-08-13,24100.66,REF-TXN1022,0.0,Settled
ORD-00211,2026-08-15,105222.7,REF-TXN1206,0.0,Settled
ORD-00212,2026-08-19,283845.58,REF-TXN1291,0.0,Settled
ORD-00213,2026-08-18,198730.46,REF-TXN1133,0.0,Settled
ORD-00214,2026-08-07,44632.51,REF-TXN1252,0.0,Settled
ORD-00215,2026-08-16,86451.27,REF-TXN1387,1280.89,Settled
ORD-00216,2026-08-20,130651.85,REF-TXN1218,0.0,Settled
ORD-00217,2026-08-25,39680.49,REF-TXN1178,0.0,Settled
ORD-00218,2026-08-06,114002.45,REF-TXN1128,0.0,Settled
ORD-00219,2026-08-24,257872.98,REF-TXN1453,0.0,Settled
ORD-00220,2026-08-18,49955.52,REF-TXN1087,0.0,Settled
ORD-00221,2026-08-08,294242.0,REF-TXN1439,0.0,Settled
ORD-00222,2026-08-21,295257.48,REF-TXN1113,0.0,Settled
ORD-00223,2026-08-16,141457.81,REF-TXN1372,2417.1,Settled
ORD-00224,2026-08-11,124939.36,REF-TXN1427,0.0,Settled
ORD-00225,2026-08-24,16724.27,REF-TXN1112,0.0,Settled
ORD-00226,2026-08-15,36740.76,REF-TXN1095,0.0,Settled
ORD-00227,2026-08-08,60272.06,REF-TXN1205,0.0,Settled
ORD-00228,2026-08-06,111369.2,REF-TXN1032,0.0,Settled
ORD-00229,2026-08-22,291002.06,REF-TXN1449,0.0,Settled
ORD-00230,2026-08-04,136720.36,REF-TXN1411,0.0,Settled
ORD-00231,2026-08-05,79707.54,REF-TXN1168,0.0,Settled
ORD-00232,2026-08-19,57428.59,REF-TXN1222,0.0,Settled
ORD-00233,2026-08-01,227762.81,REF-TXN1013,0.0,Settled
ORD-00234,2026-08-11,96253.02,REF-TXN1282,0.0,Settled
ORD-00235,2026-08-17,35135.91,REF-TXN1221,0.0,Settled
ORD-00236,2026-08-10,119998.19,REF-TXN1092,0.0,Settled
ORD-00237,2026-08-14,145949.78,REF-TXN1301,0.0,Settled
ORD-00238,2026-08-09,42319.28,REF-TXN1049,0.0,Settled
ORD-00239,2026-08-18,90163.94,REF-TXN1166,0.0,Settled
ORD-00240,2026-08-08,80483.34,REF-TXN1418,0.0,Settled
ORD-00241,2026-08-09,230185.98,REF-TXN1327,0.0,Settled
ORD-00242,2026-08-25,192468.06,REF-TXN1065,0.0,Settled
ORD-00243,2026-08-23,239894.46,REF-TXN1421,0.0,Settled
ORD-00244,2026-08-15,191552.44,REF-TXN1496,0.0,Settled
ORD-00245,2026-08-07,119840.56,REF-TXN1209,0.0,Settled
ORD-00246,2026-08-11,21721.78,REF-TXN1102,0.0,Settled
ORD-00247,2026-08-07,139777.68,REF-TXN1326,0.0,Settled
ORD-00248,2026-08-07,134240.94,REF-TXN1436,0.0,Settled
ORD-00249,2026-08-10,122119.51,REF-TXN1239,0.0,Settled
ORD-00250,2026-08-02,72641.04,REF-TXN1081,0.0,Settled
ORD-00251,2026-08-18,24633.01,REF-TXN1283,0.0,Settled
ORD-00252,2026-08-24,201353.24,REF-TXN1227,0.0,Settled
ORD-00253,2026-08-05,83236.1,REF-TXN1431,0.0,Settled
ORD-00254,2026-08-19,11251.78,REF-TXN1455,0.0,Settled
ORD-00255,2026-08-19,83818.12,REF-TXN1012,0.0,Settled
ORD-00256,2026-08-16,64663.92,REF-TXN1104,0.0,Settled
ORD-00257,2026-08-11,71986.44,REF-TXN1151,0.0,Settled
ORD-00258,2026-08-12,181315.95,REF-TXN1019,0.0,Settled
ORD-00259,2026-08-09,114041.61,REF-TXN1311,0.0,Settled
ORD-00260,2026-08-18,224379.95,REF-TXN1378,5070.86,Settled
ORD-00261,2026-08-25,54006.24,REF-TXN1070,0.0,Settled
ORD-00262,2026-08-15,269934.42,REF-TXN1094,0.0,Settled
ORD-00263,2026-08-26,220920.45,REF-TXN1246,0.0,Settled
ORD-00264,2026-08-06,184846.72,REF-TXN1238,0.0,Settled
ORD-00265,2026-08-18,226701.93,REF-TXN1090,0.0,Settled
ORD-00266,2026-08-17,146815.29,REF-TXN1174,0.0,Settled
ORD-00267,2026-08-14,161697.06,REF-TXN1297,0.0,Settled
ORD-00268,2026-08-15,23706.26,REF-TXN1280,0.0,Settled
ORD-00269,2026-08-09,291580.49,REF-TXN1069,0.0,Settled
ORD-00270,2026-08-21,28934.59,REF-TXN1493,666.01,Settled
ORD-00271,2026-08-05,153103.12,REF-TXN1054,0.0,Settled
ORD-00272,2026-08-13,256107.66,REF-TXN1296,0.0,Settled
ORD-00273,2026-08-02,1561.93,REF-TXN1177,0.0,Settled
ORD-00274,2026-08-07,249950.91,REF-TXN1289,0.0,Settled
ORD-00275,2026-08-23,271226.61,REF-TXN1183,0.0,Settled
ORD-00276,2026-08-12,118520.67,REF-TXN1475-B,0.0,Settled
ORD-00277,2026-08-26,235646.24,REF-TXN1130,0.0,Settled
ORD-00278,2026-08-24,175027.83,REF-TXN1345,2918.32,Settled
ORD-00279,2026-08-26,279279.36,REF-TXN1199,0.0,Settled
ORD-00280,2026-08-06,257391.06,REF-TXN1408,0.0,Settled
ORD-00281,2026-08-01,272709.62,REF-TXN1332,5992.09,Settled
ORD-00282,2026-08-26,201137.19,REF-TXN1200,0.0,Settled
ORD-00283,2026-08-14,66521.97,REF-TXN1011,0.0,Settled
ORD-00284,2026-08-16,285616.85,REF-TXN1500,4614.68,Settled
ORD-00285,2026-08-07,19736.54,REF-TXN1286,0.0,Settled
ORD-00286,2026-08-18,224014.62,REF-TXN1430,0.0,Settled
ORD-00287,2026-08-21,72154.14,REF-TXN1279,0.0,Settled
ORD-00288,2026-08-26,87912.54,REF-TXN1426,0.0,Settled
ORD-00289,2026-08-21,21885.05,REF-TXN1035,0.0,Settled
ORD-00290,2026-08-12,174961.62,REF-TXN1185,0.0,Settled
ORD-00291,2026-08-20,95530.74,REF-TXN1269,0.0,Settled
ORD-00292,2026-08-19,43363.76,REF-TXN1486,0.0,Settled
ORD-00293,2026-08-08,19675.76,REF-TXN1096,0.0,Settled
ORD-00294,2026-08-18,99679.39,REF-TXN1214,0.0,Settled
ORD-00295,2026-08-23,82857.41,REF-TXN1388,2316.74,Settled
ORD-00296,2026-08-13,101170.8,REF-TXN1302,0.0,Settled
ORD-00297,2026-08-14,168491.61,REF-TXN1181,0.0,Settled
ORD-00298,2026-08-21,33843.65,REF-TXN1001,0.0,Settled
ORD-00299,2026-08-14,182059.55,REF-TXN1220,0.0,Settled
ORD-00300,2026-08-07,201082.93,REF-TXN1150,0.0,Settled
ORD-00301,2026-08-05,112487.2,REF-TXN1074,0.0,Settled
ORD-00302,2026-08-25,254684.37,REF-TXN1124,0.0,Settled
ORD-00303,2026-08-12,89934.49,REF-TXN1295,0.0,Settled
ORD-00304,2026-08-23,155628.35,REF-TXN1264,0.0,Settled
ORD-00305,2026-08-18,60051.88,REF-TXN1009,0.0,Settled
ORD-00306,2026-08-16,135295.89,REF-TXN1275,0.0,Settled
ORD-00307,2026-08-13,131715.77,REF-TXN1419,0.0,Settled
ORD-00308,2026-08-14,265898.0,REF-TXN1256,0.0,Settled
ORD-00309,2026-08-03,234479.3,REF-TXN1319,0.0,Settled
ORD-00310,2026-08-07,201217.46,REF-TXN1033,0.0,Settled
ORD-00311,2026-08-18,38622.7,REF-TXN1235,0.0,Settled
ORD-00312,2026-08-19,292232.43,REF-TXN1381,4781.93,Settled
ORD-00313,2026-08-06,232682.42,REF-TXN1394,5209.84,Settled
ORD-00314,2026-08-12,173416.97,REF-TXN1025,0.0,Settled
ORD-00315,2026-08-04,204672.26,REF-TXN1063,0.0,Settled
ORD-00316,2026-08-03,3289.98,REF-TXN1155,0.0,Settled
ORD-00317,2026-08-02,225958.96,REF-TXN1403,3092.19,Settled
ORD-00318,2026-08-19,169785.46,REF-TXN1148,0.0,Settled
ORD-00319,2026-08-06,237727.77,REF-TXN1057,0.0,Settled
ORD-00320,2026-08-18,234566.82,REF-TXN1450,0.0,Settled
ORD-00321,2026-08-20,17997.64,REF-TXN1382,541.34,Settled
ORD-00322,2026-08-07,136682.45,REF-TXN1312,0.0,Settled
ORD-00323,2026-08-10,70730.83,REF-TXN1281,0.0,Settled
ORD-00324,2026-08-02,91276.52,REF-TXN1494,1748.88,Settled
ORD-00325,2026-08-14,140373.89,REF-TXN1111,0.0,Settled
ORD-00326,2026-08-24,298629.1,REF-TXN1132,0.0,Settled
ORD-00327,2026-08-06,158022.35,REF-TXN1447,0.0,Settled
ORD-00328,2026-08-25,232911.97,REF-TXN1041,0.0,Settled
ORD-00329,2026-08-08,42291.61,REF-TXN1003,0.0,Settled
ORD-00330,2026-08-03,141356.9,REF-TXN1316,0.0,Settled
ORD-00331,2026-08-09,147398.63,REF-TXN1397,2992.79,Settled
ORD-00332,2026-08-18,66948.63,REF-TXN1392,881.8,Settled
ORD-00333,2026-08-10,252579.97,REF-TXN1072,0.0,Settled
ORD-00334,2026-08-19,182195.14,REF-TXN1242,0.0,Settled
ORD-00335,2026-08-03,126057.86,REF-TXN1147,0.0,Settled
ORD-00336,2026-08-08,113281.12,REF-TXN1457,0.0,Settled
ORD-00337,2026-08-10,25621.5,REF-TXN1377,390.18,Settled
ORD-00338,2026-08-06,162044.02,REF-TXN1075,0.0,Settled
ORD-00339,2026-08-11,61477.4,REF-TXN1172,0.0,Settled
ORD-00340,2026-08-13,116399.07,REF-TXN1333,2898.94,Settled
ORD-00341,2026-08-09,224230.64,REF-TXN1051,0.0,Settled
ORD-00342,2026-08-26,196365.91,REF-TXN1164,0.0,Settled
ORD-00343,2026-08-11,83722.47,REF-TXN1015,0.0,Settled
ORD-00344,2026-08-24,102121.13,REF-TXN1115,0.0,Settled
ORD-00345,2026-08-16,251887.47,REF-TXN1349,3472.9,Settled
ORD-00346,2026-08-25,192620.48,REF-TXN1492,5304.39,Settled
ORD-00347,2026-08-24,277383.94,REF-TXN1198,0.0,Settled
ORD-00348,2026-08-18,29823.66,REF-TXN1121,0.0,Settled
ORD-00349,2026-08-25,168185.11,REF-TXN1192,0.0,Settled
ORD-00350,2026-08-04,280266.15,REF-TXN1383,4037.11,Settled
ORD-00351,2026-08-23,32874.64,REF-TXN1203,0.0,Settled
ORD-00352,2026-08-10,295573.85,REF-TXN1028,0.0,Settled
ORD-00353,2026-08-22,294354.33,REF-TXN1213,0.0,Settled
ORD-00354,2026-08-06,209592.75,REF-TXN1014,0.0,Settled
ORD-00355,2026-08-09,48893.8,REF-TXN1179,0.0,Settled
ORD-00356,2026-08-07,92640.95,REF-TXN1362,2365.66,Settled
ORD-00357,2026-08-04,18653.5,REF-TXN1114,0.0,Settled
ORD-00358,2026-08-16,118991.75,REF-TXN1047,0.0,Settled
ORD-00359,2026-08-01,156216.14,REF-TXN1224,0.0,Settled
ORD-00360,2026-08-25,276769.01,REF-TXN1076,0.0,Settled
ORD-00361,2026-08-08,53178.06,REF-TXN1263,0.0,Settled
ORD-00362,2026-08-04,216066.4,REF-TXN1231,0.0,Settled
ORD-00363,2026-08-17,47651.1,REF-TXN1140,0.0,Settled
ORD-00364,2026-08-13,132869.47,REF-TXN1380,2559.61,Settled
ORD-00365,2026-08-26,94978.19,REF-TXN1043,0.0,Settled
ORD-00366,2026-08-03,67439.88,REF-TXN1400,1622.98,Settled
ORD-00367,2026-08-18,225387.9,REF-TXN1064,0.0,Settled
ORD-00368,2026-08-02,167443.04,REF-TXN1265,0.0,Settled
ORD-00369,2026-08-25,155153.97,REF-TXN1365,2474.77,Settled
ORD-00370,2026-08-13,108917.93,REF-TXN1053,0.0,Settled
ORD-00371,2026-08-05,69762.81,REF-TXN1284,0.0,Settled
ORD-00372,2026-08-22,31286.69,REF-TXN1191,0.0,Settled
ORD-00373,2026-08-22,25896.26,REF-TXN1247,0.0,Settled
ORD-00374,2026-08-24,215647.99,REF-TXN1329,0.0,Settled
ORD-00375,2026-08-22,68755.53,REF-TXN1027,0.0,Settled
ORD-00376,2026-08-13,79928.32,REF-TXN1129,0.0,Settled
ORD-00377,2026-08-06,75409.78,REF-TXN1499,2052.76,Settled
ORD-00378,2026-08-15,54927.84,REF-TXN1310,0.0,Settled
ORD-00379,2026-08-08,83903.94,REF-TXN1103,0.0,Settled
ORD-00380,2026-08-03,219706.32,REF-TXN1083,0.0,Settled
ORD-00381,2026-08-01,35044.85,REF-TXN1215,0.0,Settled
ORD-00382,2026-08-20,244594.45,REF-TXN1271,0.0,Settled
ORD-00383,2026-08-23,115501.55,REF-TXN1258,0.0,Settled
ORD-00384,2026-08-26,243326.13,REF-TXN1196,0.0,Settled
ORD-00385,2026-08-19,74241.5,REF-TXN1145,0.0,Settled
