bank_txn_id,gateway_order_id,match_type
TXN-00216,ORD-00385,EXACT
TXN-00195,ORD-00400,EXACT
TXN-00246,ORD-00335,EXACT
TXN-00263,ORD-00318,EXACT
TXN-00040,ORD-00079,EXACT
TXN-00078,ORD-00300,EXACT
TXN-00302,ORD-00257,EXACT
TXN-00169,ORD-00434,EXACT
TXN-00194,ORD-00068,EXACT
TXN-00162,ORD-00041,EXACT
TXN-00436,ORD-00316,EXACT
TXN-00429,ORD-00169,EXACT
TXN-00041,ORD-00082,EXACT
TXN-00237,ORD-00183,EXACT
TXN-00189,ORD-00476,EXACT
TXN-00262,ORD-00037,EXACT
TXN-00285,ORD-00022,EXACT
TXN-00130,ORD-00060,EXACT
TXN-00210,ORD-00148,EXACT
TXN-00069,ORD-00342,EXACT
TXN-00312,ORD-00096,EXACT
TXN-00346,ORD-00239,EXACT
TXN-00305,ORD-00159,EXACT
TXN-00445,ORD-00231,EXACT
TXN-00364,ORD-00462,EXACT
TXN-00183,ORD-00197,EXACT
TXN-00375,ORD-00483,EXACT
TXN-00149,ORD-00339,EXACT
TXN-00236,ORD-00423,EXACT
TXN-00487,ORD-00266,EXACT
TXN-00128,ORD-00442,EXACT
TXN-00115,ORD-00034,EXACT
TXN-00058,ORD-00273,EXACT
TXN-00229,ORD-00217,EXACT
TXN-00018,ORD-00355,EXACT
TXN-00224,ORD-00477,EXACT
TXN-00261,ORD-00297,EXACT
TXN-00266,ORD-00083,EXACT
TXN-00075,ORD-00275,EXACT
TXN-00390,ORD-00192,EXACT
TXN-00197,ORD-00290,EXACT
TXN-00396,ORD-00448,EXACT
TXN-00118,ORD-00406,EXACT
TXN-00471,ORD-00153,EXACT
TXN-00462,ORD-00390,EXACT
TXN-00420,ORD-00011,EXACT
TXN-00453,ORD-00372,EXACT
TXN-00281,ORD-00349,EXACT
TXN-00124,ORD-00465,EXACT
TXN-00060,ORD-00186,EXACT
TXN-00079,ORD-00085,EXACT
TXN-00456,ORD-00384,EXACT
TXN-00240,ORD-00006,EXACT
TXN-00121,ORD-00347,EXACT
TXN-00422,ORD-00279,EXACT
TXN-00190,ORD-00282,EXACT
TXN-00085,ORD-00472,EXACT
TXN-00023,ORD-00196,EXACT
TXN-00468,ORD-00351,EXACT
TXN-00475,ORD-00101,EXACT
TXN-00288,ORD-00227,EXACT
TXN-00319,ORD-00211,EXACT
TXN-00244,ORD-00199,EXACT
TXN-00053,ORD-00117,EXACT
TXN-00405,ORD-00245,EXACT
TXN-00434,ORD-00032,EXACT
TXN-00267,ORD-00407,EXACT
TXN-00291,ORD-00065,EXACT
TXN-00410,ORD-00353,EXACT
TXN-00123,ORD-00294,EXACT
TXN-00415,ORD-00381,EXACT
TXN-00340,ORD-00140,EXACT
TXN-00265,ORD-00450,EXACT
TXN-00117,ORD-00216,EXACT
TXN-00318,ORD-00141,EXACT
TXN-00006,ORD-00299,EXACT
TXN-00299,ORD-00235,EXACT
TXN-00274,ORD-00232,EXACT
TXN-00153,ORD-00127,EXACT
TXN-00064,ORD-00359,EXACT
TXN-00185,ORD-00409,EXACT
TXN-00218,ORD-00387,EXACT
TXN-00209,ORD-00252,EXACT
TXN-00399,ORD-00402,EXACT
TXN-00131,ORD-00110,EXACT
TXN-00335,ORD-00397,EXACT
TXN-00215,ORD-00362,EXACT
TXN-00330,ORD-00168,EXACT
TXN-00463,ORD-00044,EXACT
TXN-00057,ORD-00031,EXACT
TXN-00323,ORD-00311,EXACT
TXN-00187,ORD-00122,EXACT
TXN-00081,ORD-00386,EXACT
TXN-00438,ORD-00264,EXACT
TXN-00140,ORD-00249,EXACT
TXN-00484,ORD-00158,EXACT
TXN-00120,ORD-00392,EXACT
TXN-00449,ORD-00334,EXACT
TXN-00279,ORD-00106,EXACT
TXN-00336,ORD-00203,EXACT
TXN-00074,ORD-00104,EXACT
TXN-00320,ORD-00263,EXACT
TXN-00257,ORD-00373,EXACT
TXN-00223,ORD-00053,EXACT
TXN-00174,ORD-00440,EXACT
TXN-00199,ORD-00146,EXACT
TXN-00407,ORD-00185,EXACT
TXN-00316,ORD-00214,EXACT
TXN-00428,ORD-00130,EXACT
TXN-00005,ORD-00038,EXACT
TXN-00252,ORD-00120,EXACT
TXN-00111,ORD-00308,EXACT
TXN-00050,ORD-00049,EXACT
TXN-00329,ORD-00383,EXACT
TXN-00300,ORD-00161,EXACT
TXN-00033,ORD-00430,EXACT
TXN-00168,ORD-00449,EXACT
TXN-00238,ORD-00174,EXACT
TXN-00333,ORD-00361,EXACT
TXN-00028,ORD-00304,EXACT
TXN-00255,ORD-00368,EXACT
TXN-00114,ORD-00163,EXACT
TXN-00325,ORD-00111,EXACT
TXN-00043,ORD-00124,EXACT
TXN-00231,ORD-00291,EXACT
TXN-00339,ORD-00454,EXACT
TXN-00026,ORD-00382,EXACT
TXN-00303,ORD-00102,EXACT
TXN-00004,ORD-00189,EXACT
TXN-00198,ORD-00395,EXACT
TXN-00465,ORD-00306,EXACT
TXN-00424,ORD-00167,EXACT
TXN-00416,ORD-00428,EXACT
TXN-00031,ORD-00113,EXACT
TXN-00392,ORD-00287,EXACT
TXN-00166,ORD-00268,EXACT
TXN-00306,ORD-00323,EXACT
TXN-00119,ORD-00234,EXACT
TXN-00296,ORD-00251,EXACT
TXN-00369,ORD-00371,EXACT
TXN-00283,ORD-00166,EXACT
TXN-00472,ORD-00285,EXACT
TXN-00230,ORD-00466,EXACT
TXN-00446,ORD-00058,EXACT
TXN-00012,ORD-00274,EXACT
TXN-00372,ORD-00054,EXACT
TXN-00039,ORD-00212,EXACT
TXN-00202,ORD-00005,EXACT
TXN-00180,ORD-00388,EXACT
TXN-00036,ORD-00193,EXACT
TXN-00172,ORD-00303,EXACT
TXN-00095,ORD-00272,EXACT
TXN-00144,ORD-00267,EXACT
TXN-00106,ORD-00026,EXACT
TXN-00294,ORD-00481,EXACT
TXN-00457,ORD-00042,EXACT
TXN-00414,ORD-00237,EXACT
TXN-00347,ORD-00296,EXACT
TXN-00105,ORD-00154,EXACT
TXN-00332,ORD-00013,EXACT
TXN-00080,ORD-00470,EXACT
TXN-00378,ORD-00419,EXACT
TXN-00182,ORD-00027,EXACT
TXN-00088,ORD-00175,EXACT
TXN-00047,ORD-00486,EXACT
TXN-00147,ORD-00378,EXACT
TXN-00110,ORD-00259,EXACT
TXN-00235,ORD-00322,EXACT
TXN-00444,ORD-00401,EXACT
TXN-00063,ORD-00004,EXACT
TXN-00327,ORD-00036,EXACT
TXN-00406,ORD-00330,EXACT
TXN-00205,ORD-00421,EXACT
TXN-00447,ORD-00061,EXACT
TXN-00030,ORD-00309,EXACT
TXN-00008,ORD-00412,EXACT
TXN-00112,ORD-00059,EXACT
TXN-00015,ORD-00155,EXACT
TXN-00116,ORD-00126,EXACT
TXN-00097,ORD-00035,EXACT
TXN-00071,ORD-00206,EXACT
TXN-00440,ORD-00247,EXACT
TXN-00454,ORD-00241,EXACT
TXN-00379,ORD-00172,EXACT
TXN-00380,ORD-00374,EXACT
TXN-00293,ORD-00464,EXACT
TXN-00391,ORD-00452,EXACT
TXN-00442,ORD-00281,FUZZY_AMOUNT
TXN-00435,ORD-00340,FUZZY_AMOUNT
TXN-00037,ORD-00045,FUZZY_AMOUNT
TXN-00014,ORD-00151,FUZZY_AMOUNT
TXN-00409,ORD-00475,FUZZY_AMOUNT
TXN-00084,ORD-00488,FUZZY_AMOUNT
TXN-00297,ORD-00072,FUZZY_AMOUNT
TXN-00353,ORD-00424,FUZZY_AMOUNT
TXN-00382,ORD-00480,FUZZY_AMOUNT
TXN-00309,ORD-00081,FUZZY_AMOUNT
TXN-00264,ORD-00180,FUZZY_AMOUNT
TXN-00206,ORD-00179,FUZZY_AMOUNT
TXN-00419,ORD-00459,FUZZY_AMOUNT
TXN-00461,ORD-00278,FUZZY_AMOUNT
TXN-00476,ORD-00014,FUZZY_AMOUNT
TXN-00478,ORD-00405,FUZZY_AMOUNT
TXN-00122,ORD-00389,FUZZY_AMOUNT
TXN-00179,ORD-00345,FUZZY_AMOUNT
TXN-00227,ORD-00047,FUZZY_AMOUNT
TXN-00108,ORD-00455,FUZZY_AMOUNT
TXN-00394,ORD-00024,FUZZY_AMOUNT
TXN-00152,ORD-00139,FUZZY_AMOUNT
TXN-00402,ORD-00018,FUZZY_AMOUNT
TXN-00344,ORD-00414,FUZZY_AMOUNT
TXN-00143,ORD-00105,FUZZY_AMOUNT
TXN-00417,ORD-00188,FUZZY_AMOUNT
TXN-00271,ORD-00474,FUZZY_AMOUNT
TXN-00437,ORD-00021,FUZZY_AMOUNT
TXN-00090,ORD-00458,FUZZY_AMOUNT
TXN-00219,ORD-00147,FUZZY_AMOUNT
TXN-00207,ORD-00356,FUZZY_AMOUNT
TXN-00311,ORD-00469,FUZZY_AMOUNT
TXN-00269,ORD-00201,FUZZY_AMOUNT
TXN-00051,ORD-00369,FUZZY_AMOUNT
TXN-00295,ORD-00160,FUZZY_AMOUNT
TXN-00289,ORD-00144,FUZZY_AMOUNT
TXN-00178,ORD-00187,FUZZY_AMOUNT
TXN-00160,ORD-00404,FUZZY_AMOUNT
TXN-00156,ORD-00410,FUZZY_AMOUNT
TXN-00477,ORD-00490,FUZZY_AMOUNT
TXN-00129,ORD-00223,FUZZY_AMOUNT
TXN-00412,ORD-00173,FUZZY_AMOUNT
TXN-00181,ORD-00025,FUZZY_AMOUNT
TXN-00102,ORD-00200,FUZZY_AMOUNT
TXN-00083,ORD-00019,FUZZY_AMOUNT
TXN-00139,ORD-00337,FUZZY_AMOUNT
TXN-00362,ORD-00260,FUZZY_AMOUNT
TXN-00184,ORD-00456,FUZZY_AMOUNT
TXN-00222,ORD-00364,FUZZY_AMOUNT
TXN-00418,ORD-00312,FUZZY_AMOUNT
TXN-00059,ORD-00321,FUZZY_AMOUNT
TXN-00277,ORD-00350,FUZZY_AMOUNT
TXN-00460,ORD-00398,FUZZY_AMOUNT
TXN-00268,ORD-00056,FUZZY_AMOUNT
TXN-00146,ORD-00399,FUZZY_AMOUNT
TXN-00481,ORD-00215,FUZZY_AMOUNT
TXN-00093,ORD-00295,FUZZY_AMOUNT
TXN-00321,ORD-00048,FUZZY_AMOUNT
TXN-00349,ORD-00116,FUZZY_AMOUNT
TXN-00317,ORD-00138,FUZZY_AMOUNT
TXN-00133,ORD-00332,FUZZY_AMOUNT
TXN-00017,ORD-00441,FUZZY_AMOUNT
TXN-00192,ORD-00313,FUZZY_AMOUNT
TXN-00298,ORD-00429,FUZZY_AMOUNT
TXN-00334,ORD-00084,FUZZY_AMOUNT
TXN-00070,ORD-00331,FUZZY_AMOUNT
TXN-00315,ORD-00067,FUZZY_AMOUNT
TXN-00398,ORD-00132,FUZZY_AMOUNT
TXN-00138,ORD-00366,FUZZY_AMOUNT
TXN-00211,ORD-00073,FUZZY_AMOUNT
TXN-00164,ORD-00129,FUZZY_AMOUNT
TXN-00024,ORD-00317,FUZZY_AMOUNT
TXN-00241,ORD-00432,FUZZY_AMOUNT
TXN-00469,ORD-00010,FUZZY_AMOUNT
TXN-00242,ORD-00463,FUZZY_AMOUNT
TXN-00234,ORD-00091,FUZZY_DATE
TXN-00395,ORD-00280,FUZZY_DATE
TXN-00113,ORD-00182,FUZZY_DATE
TXN-00287,ORD-00078,FUZZY_DATE
TXN-00258,ORD-00230,FUZZY_DATE
TXN-00486,ORD-00152,FUZZY_DATE
TXN-00259,ORD-00128,FUZZY_DATE
TXN-00367,ORD-00050,FUZZY_DATE
TXN-00087,ORD-00162,FUZZY_DATE
TXN-00357,ORD-00198,FUZZY_DATE
TXN-00226,ORD-00461,FUZZY_DATE
TXN-00413,ORD-00240,FUZZY_DATE
TXN-00253,ORD-00307,FUZZY_DATE
TXN-00401,ORD-00136,FUZZY_DATE
TXN-00384,ORD-00243,FUZZY_DATE
TXN-00455,ORD-00112,FUZZY_DATE
TXN-00225,ORD-00090,FUZZY_DATE
TXN-00103,ORD-00177,FUZZY_DATE
TXN-00397,ORD-00457,FUZZY_DATE
TXN-00273,ORD-00288,FUZZY_DATE
TXN-00076,ORD-00224,FUZZY_DATE
TXN-00220,ORD-00023,FUZZY_DATE
TXN-00232,ORD-00413,FUZZY_DATE
TXN-00135,ORD-00286,FUZZY_DATE
TXN-00208,ORD-00253,FUZZY_DATE
TXN-00247,ORD-00190,FUZZY_DATE
TXN-00427,ORD-00433,FUZZY_DATE
TXN-00474,ORD-00055,FUZZY_DATE
TXN-00091,ORD-00157,FUZZY_DATE
TXN-00324,ORD-00248,FUZZY_DATE
TXN-00154,ORD-00489,FUZZY_DATE
TXN-00151,ORD-00156,FUZZY_DATE
TXN-00019,ORD-00221,FUZZY_DATE
TXN-00082,ORD-00063,FUZZY_DATE
TXN-00479,ORD-00422,FUZZY_DATE
TXN-00248,ORD-00119,FUZZY_DATE
TXN-00328,ORD-00191,FUZZY_DATE
TXN-00125,ORD-00415,FUZZY_DATE
TXN-00072,ORD-00393,FUZZY_DATE
TXN-00488,ORD-00134,FUZZY_DATE
TXN-00284,ORD-00327,FUZZY_DATE
TXN-00188,ORD-00485,FUZZY_DATE
TXN-00212,ORD-00229,FUZZY_DATE
TXN-00365,ORD-00320,FUZZY_DATE
TXN-00034,ORD-00194,FUZZY_DATE
TXN-00331,ORD-00002,FUZZY_DATE
TXN-00272,ORD-00219,FUZZY_DATE
TXN-00066,ORD-00426,FUZZY_DATE
TXN-00439,ORD-00254,FUZZY_DATE
TXN-00304,ORD-00427,FUZZY_DATE
TXN-00307,ORD-00336,CONFUSABLE
TXN-00167,ORD-00202,CONFUSABLE
TXN-00068,ORD-00451,CONFUSABLE
TXN-00301,ORD-00100,CONFUSABLE
TXN-00459,ORD-00195,CONFUSABLE
TXN-00393,ORD-00123,CONFUSABLE
TXN-00421,ORD-00209,TYPO
TXN-00077,ORD-00205,TYPO
TXN-00032,ORD-00487,TYPO
TXN-00343,ORD-00107,TYPO
TXN-00350,ORD-00445,TYPO
TXN-00094,ORD-00292,TYPO
TXN-00020,ORD-00244,TYPO
TXN-00383,ORD-00478,TYPO
TXN-00038,ORD-00135,TYPO
TXN-00022,ORD-00040,TYPO
TXN-00341,NO_MATCH,SPLIT_SETTLEMENT
NO_MATCH,ORD-00145,SPLIT_SETTLEMENT
NO_MATCH,ORD-00204,SPLIT_SETTLEMENT
TXN-00239,NO_MATCH,SPLIT_SETTLEMENT
NO_MATCH,ORD-00178,SPLIT_SETTLEMENT
NO_MATCH,ORD-00467,SPLIT_SETTLEMENT
TXN-00388,NO_MATCH,SPLIT_SETTLEMENT
NO_MATCH,ORD-00176,SPLIT_SETTLEMENT
NO_MATCH,ORD-00276,SPLIT_SETTLEMENT
TXN-00451,NO_MATCH,BANK_EXCEPTION
TXN-00013,NO_MATCH,BANK_EXCEPTION
TXN-00021,NO_MATCH,BANK_EXCEPTION
TXN-00337,NO_MATCH,BANK_EXCEPTION
TXN-00011,NO_MATCH,BANK_EXCEPTION
TXN-00360,NO_MATCH,BANK_EXCEPTION
TXN-00170,NO_MATCH,BANK_EXCEPTION
TXN-00065,NO_MATCH,BANK_EXCEPTION
TXN-00177,NO_MATCH,BANK_EXCEPTION
TXN-00338,NO_MATCH,BANK_EXCEPTION
TXN-00473,NO_MATCH,BANK_EXCEPTION
TXN-00290,NO_MATCH,BANK_EXCEPTION
TXN-00176,NO_MATCH,BANK_EXCEPTION
NO_MATCH,ORD-00043,GATEWAY_EXCEPTION
NO_MATCH,ORD-00473,GATEWAY_EXCEPTION
NO_MATCH,ORD-00009,GATEWAY_EXCEPTION
NO_MATCH,ORD-00346,GATEWAY_EXCEPTION
NO_MATCH,ORD-00270,GATEWAY_EXCEPTION
NO_MATCH,ORD-00324,GATEWAY_EXCEPTION
NO_MATCH,ORD-00446,GATEWAY_EXCEPTION
NO_MATCH,ORD-00121,GATEWAY_EXCEPTION
NO_MATCH,ORD-00418,GATEWAY_EXCEPTION
NO_MATCH,ORD-00181,GATEWAY_EXCEPTION
NO_MATCH,ORD-00377,GATEWAY_EXCEPTION
NO_MATCH,ORD-00284,GATEWAY_EXCEPTION
