bank_txn_id,gateway_order_id,match_type,confidence,fee,fee_pct,explanation
TXN-00132,ORD-00256,EXACT,100.0,0.0,,
TXN-00134,ORD-00250,EXACT,100.0,0.0,,
TXN-00136,ORD-00070,EXACT,100.0,0.0,,
TXN-00137,ORD-00012,EXACT,100.0,0.0,,
TXN-00140,ORD-00249,EXACT,100.0,0.0,,
TXN-00141,ORD-00258,EXACT,100.0,0.0,,
TXN-00142,ORD-00184,EXACT,100.0,0.0,,
TXN-00144,ORD-00267,EXACT,100.0,0.0,,
TXN-00145,ORD-00095,EXACT,100.0,0.0,,
TXN-00147,ORD-00378,EXACT,100.0,0.0,,
TXN-00148,ORD-00114,EXACT,100.0,0.0,,
TXN-00149,ORD-00339,EXACT,100.0,0.0,,
TXN-00150,ORD-00218,EXACT,100.0,0.0,,
TXN-00153,ORD-00127,EXACT,100.0,0.0,,
TXN-00155,ORD-00460,EXACT,100.0,0.0,,
TXN-00157,ORD-00133,EXACT,100.0,0.0,,
TXN-00158,ORD-00077,EXACT,100.0,0.0,,
TXN-00159,ORD-00370,EXACT,100.0,0.0,,
TXN-00161,ORD-00343,EXACT,100.0,0.0,,
TXN-00162,ORD-00041,EXACT,100.0,0.0,,
TXN-00163,ORD-00246,EXACT,100.0,0.0,,
TXN-00165,ORD-00255,EXACT,100.0,0.0,,
TXN-00166,ORD-00268,EXACT,100.0,0.0,,
TXN-00167,ORD-00202,EXACT,100.0,0.0,,
TXN-00168,ORD-00449,EXACT,100.0,0.0,,
TXN-00169,ORD-00434,EXACT,100.0,0.0,,
TXN-00171,ORD-00099,EXACT,100.0,0.0,,
TXN-00172,ORD-00303,EXACT,100.0,0.0,,
TXN-00173,ORD-00001,EXACT,100.0,0.0,,
TXN-00174,ORD-00440,EXACT,100.0,0.0,,
TXN-00175,ORD-00326,EXACT,100.0,0.0,,
TXN-00180,ORD-00388,EXACT,100.0,0.0,,
TXN-00182,ORD-00027,EXACT,100.0,0.0,,
TXN-00183,ORD-00197,EXACT,100.0,0.0,,
TXN-00185,ORD-00409,EXACT,100.0,0.0,,
TXN-00186,ORD-00207,EXACT,100.0,0.0,,
TXN-00187,ORD-00122,EXACT,100.0,0.0,,
TXN-00189,ORD-00476,EXACT,100.0,0.0,,
TXN-00190,ORD-00282,EXACT,100.0,0.0,,
TXN-00191,ORD-00435,EXACT,100.0,0.0,,
TXN-00193,ORD-00210,EXACT,100.0,0.0,,
TXN-00194,ORD-00068,EXACT,100.0,0.0,,
TXN-00195,ORD-00400,EXACT,100.0,0.0,,
TXN-00196,ORD-00416,EXACT,100.0,0.0,,
TXN-00197,ORD-00290,EXACT,100.0,0.0,,
TXN-00198,ORD-00395,EXACT,100.0,0.0,,
TXN-00199,ORD-00146,EXACT,100.0,0.0,,
TXN-00200,ORD-00328,EXACT,100.0,0.0,,
TXN-00201,ORD-00118,EXACT,100.0,0.0,,
TXN-00202,ORD-00005,EXACT,100.0,0.0,,
TXN-00203,ORD-00007,EXACT,100.0,0.0,,
TXN-00204,ORD-00017,EXACT,100.0,0.0,,
TXN-00205,ORD-00421,EXACT,100.0,0.0,,
TXN-00209,ORD-00252,EXACT,100.0,0.0,,
TXN-00210,ORD-00148,EXACT,100.0,0.0,,
TXN-00213,ORD-00165,EXACT,100.0,0.0,,
TXN-00214,ORD-00379,EXACT,100.0,0.0,,
TXN-00215,ORD-00362,EXACT,100.0,0.0,,
TXN-00216,ORD-00385,EXACT,100.0,0.0,,
TXN-00217,ORD-00170,EXACT,100.0,0.0,,
TXN-00218,ORD-00387,EXACT,100.0,0.0,,
TXN-00221,ORD-00220,EXACT,100.0,0.0,,
TXN-00223,ORD-00053,EXACT,100.0,0.0,,
TXN-00224,ORD-00477,EXACT,100.0,0.0,,
TXN-00228,ORD-00269,EXACT,100.0,0.0,,
TXN-00229,ORD-00217,EXACT,100.0,0.0,,
TXN-00230,ORD-00466,EXACT,100.0,0.0,,
TXN-00231,ORD-00291,EXACT,100.0,0.0,,
TXN-00233,ORD-00142,EXACT,100.0,0.0,,
TXN-00235,ORD-00322,EXACT,100.0,0.0,,
TXN-00236,ORD-00423,EXACT,100.0,0.0,,
TXN-00237,ORD-00183,EXACT,100.0,0.0,,
TXN-00238,ORD-00174,EXACT,100.0,0.0,,
TXN-00240,ORD-00006,EXACT,100.0,0.0,,
TXN-00243,ORD-00443,EXACT,100.0,0.0,,
TXN-00244,ORD-00199,EXACT,100.0,0.0,,
TXN-00245,ORD-00125,EXACT,100.0,0.0,,
TXN-00246,ORD-00335,EXACT,100.0,0.0,,
TXN-00249,ORD-00143,EXACT,100.0,0.0,,
TXN-00250,ORD-00226,EXACT,100.0,0.0,,
TXN-00251,ORD-00030,EXACT,100.0,0.0,,
TXN-00252,ORD-00120,EXACT,100.0,0.0,,
TXN-00254,ORD-00352,EXACT,100.0,0.0,,
TXN-00255,ORD-00368,EXACT,100.0,0.0,,
TXN-00256,ORD-00344,EXACT,100.0,0.0,,
TXN-00257,ORD-00373,EXACT,100.0,0.0,,
TXN-00260,ORD-00271,EXACT,100.0,0.0,,
TXN-00261,ORD-00297,EXACT,100.0,0.0,,
TXN-00262,ORD-00037,EXACT,100.0,0.0,,
TXN-00263,ORD-00318,EXACT,100.0,0.0,,
TXN-00265,ORD-00450,EXACT,100.0,0.0,,
TXN-00266,ORD-00083,EXACT,100.0,0.0,,
TXN-00267,ORD-00407,EXACT,100.0,0.0,,
TXN-00270,ORD-00137,EXACT,100.0,0.0,,
TXN-00274,ORD-00232,EXACT,100.0,0.0,,
TXN-00275,ORD-00453,EXACT,100.0,0.0,,
TXN-00276,ORD-00468,EXACT,100.0,0.0,,
TXN-00278,ORD-00289,EXACT,100.0,0.0,,
TXN-00279,ORD-00106,EXACT,100.0,0.0,,
TXN-00280,ORD-00417,EXACT,100.0,0.0,,
TXN-00281,ORD-00349,EXACT,100.0,0.0,,
TXN-00282,ORD-00075,EXACT,100.0,0.0,,
TXN-00283,ORD-00166,EXACT,100.0,0.0,,
TXN-00285,ORD-00022,EXACT,100.0,0.0,,
TXN-00286,ORD-00238,EXACT,100.0,0.0,,
TXN-00288,ORD-00227,EXACT,100.0,0.0,,
TXN-00291,ORD-00065,EXACT,100.0,0.0,,
TXN-00292,ORD-00033,EXACT,100.0,0.0,,
TXN-00293,ORD-00464,EXACT,100.0,0.0,,
TXN-00294,ORD-00481,EXACT,100.0,0.0,,
TXN-00296,ORD-00251,EXACT,100.0,0.0,,
TXN-00299,ORD-00235,EXACT,100.0,0.0,,
TXN-00300,ORD-00161,EXACT,100.0,0.0,,
TXN-00301,ORD-00100,EXACT,100.0,0.0,,
TXN-00302,ORD-00257,EXACT,100.0,0.0,,
TXN-00303,ORD-00102,EXACT,100.0,0.0,,
TXN-00305,ORD-00159,EXACT,100.0,0.0,,
TXN-00306,ORD-00323,EXACT,100.0,0.0,,
TXN-00307,ORD-00336,EXACT,100.0,0.0,,
TXN-00308,ORD-00089,EXACT,100.0,0.0,,
TXN-00310,ORD-00057,EXACT,100.0,0.0,,
TXN-00312,ORD-00096,EXACT,100.0,0.0,,
TXN-00313,ORD-00482,EXACT,100.0,0.0,,
TXN-00314,ORD-00109,EXACT,100.0,0.0,,
TXN-00316,ORD-00214,EXACT,100.0,0.0,,
TXN-00318,ORD-00141,EXACT,100.0,0.0,,
TXN-00319,ORD-00211,EXACT,100.0,0.0,,
TXN-00320,ORD-00263,EXACT,100.0,0.0,,
TXN-00322,ORD-00098,EXACT,100.0,0.0,,
TXN-00323,ORD-00311,EXACT,100.0,0.0,,
TXN-00325,ORD-00111,EXACT,100.0,0.0,,
TXN-00326,ORD-00408,EXACT,100.0,0.0,,
TXN-00327,ORD-00036,EXACT,100.0,0.0,,
TXN-00329,ORD-00383,EXACT,100.0,0.0,,
TXN-00330,ORD-00168,EXACT,100.0,0.0,,
TXN-00332,ORD-00013,EXACT,100.0,0.0,,
TXN-00333,ORD-00361,EXACT,100.0,0.0,,
TXN-00335,ORD-00397,EXACT,100.0,0.0,,
TXN-00336,ORD-00203,EXACT,100.0,0.0,,
TXN-00339,ORD-00454,EXACT,100.0,0.0,,
TXN-00340,ORD-00140,EXACT,100.0,0.0,,
TXN-00342,ORD-00375,EXACT,100.0,0.0,,
TXN-00343,ORD-00107,EXACT,100.0,0.0,,
TXN-00345,ORD-00305,EXACT,100.0,0.0,,
TXN-00346,ORD-00239,EXACT,100.0,0.0,,
TXN-00347,ORD-00296,EXACT,100.0,0.0,,
TXN-00348,ORD-00403,EXACT,100.0,0.0,,
TXN-00351,ORD-00420,EXACT,100.0,0.0,,
TXN-00352,ORD-00354,EXACT,100.0,0.0,,
TXN-00354,ORD-00319,EXACT,100.0,0.0,,
TXN-00355,ORD-00265,EXACT,100.0,0.0,,
TXN-00356,ORD-00376,EXACT,100.0,0.0,,
TXN-00358,ORD-00471,EXACT,100.0,0.0,,
TXN-00359,ORD-00338,EXACT,100.0,0.0,,
TXN-00361,ORD-00028,EXACT,100.0,0.0,,
TXN-00363,ORD-00360,EXACT,100.0,0.0,,
TXN-00364,ORD-00462,EXACT,100.0,0.0,,
TXN-00366,ORD-00325,EXACT,100.0,0.0,,
TXN-00368,ORD-00052,EXACT,100.0,0.0,,
TXN-00369,ORD-00371,EXACT,100.0,0.0,,
TXN-00370,ORD-00150,EXACT,100.0,0.0,,
TXN-00371,ORD-00029,EXACT,100.0,0.0,,
TXN-00372,ORD-00054,EXACT,100.0,0.0,,
TXN-00373,ORD-00242,EXACT,100.0,0.0,,
TXN-00374,ORD-00071,EXACT,100.0,0.0,,
TXN-00375,ORD-00483,EXACT,100.0,0.0,,
TXN-00376,ORD-00097,EXACT,100.0,0.0,,
TXN-00377,ORD-00283,EXACT,100.0,0.0,,
TXN-00378,ORD-00419,EXACT,100.0,0.0,,
TXN-00379,ORD-00172,EXACT,100.0,0.0,,
TXN-00380,ORD-00374,EXACT,100.0,0.0,,
TXN-00381,ORD-00208,EXACT,100.0,0.0,,
TXN-00385,ORD-00315,EXACT,100.0,0.0,,
TXN-00386,ORD-00016,EXACT,100.0,0.0,,
TXN-00387,ORD-00020,EXACT,100.0,0.0,,
TXN-00389,ORD-00228,EXACT,100.0,0.0,,
TXN-00390,ORD-00192,EXACT,100.0,0.0,,
TXN-00391,ORD-00452,EXACT,100.0,0.0,,
TXN-00392,ORD-00287,EXACT,100.0,0.0,,
TXN-00393,ORD-00123,EXACT,100.0,0.0,,
TXN-00396,ORD-00448,EXACT,100.0,0.0,,
TXN-00399,ORD-00402,EXACT,100.0,0.0,,
TXN-00400,ORD-00225,EXACT,100.0,0.0,,
TXN-00403,ORD-00086,EXACT,100.0,0.0,,
TXN-00404,ORD-00094,EXACT,100.0,0.0,,
TXN-00405,ORD-00245,EXACT,100.0,0.0,,
TXN-00406,ORD-00330,EXACT,100.0,0.0,,
TXN-00407,ORD-00185,EXACT,100.0,0.0,,
TXN-00408,ORD-00341,EXACT,100.0,0.0,,
TXN-00410,ORD-00353,EXACT,100.0,0.0,,
TXN-00411,ORD-00436,EXACT,100.0,0.0,,
TXN-00414,ORD-00237,EXACT,100.0,0.0,,
TXN-00415,ORD-00381,EXACT,100.0,0.0,,
TXN-00416,ORD-00428,EXACT,100.0,0.0,,
TXN-00420,ORD-00011,EXACT,100.0,0.0,,
TXN-00422,ORD-00279,EXACT,100.0,0.0,,
TXN-00423,ORD-00261,EXACT,100.0,0.0,,
TXN-00424,ORD-00167,EXACT,100.0,0.0,,
TXN-00425,ORD-00348,EXACT,100.0,0.0,,
TXN-00426,ORD-00015,EXACT,100.0,0.0,,
TXN-00428,ORD-00130,EXACT,100.0,0.0,,
TXN-00429,ORD-00169,EXACT,100.0,0.0,,
TXN-00430,ORD-00425,EXACT,100.0,0.0,,
TXN-00431,ORD-00066,EXACT,100.0,0.0,,
TXN-00432,ORD-00333,EXACT,100.0,0.0,,
TXN-00433,ORD-00088,EXACT,100.0,0.0,,
TXN-00434,ORD-00032,EXACT,100.0,0.0,,
TXN-00436,ORD-00316,EXACT,100.0,0.0,,
TXN-00438,ORD-00264,EXACT,100.0,0.0,,
TXN-00440,ORD-00247,EXACT,100.0,0.0,,
TXN-00441,ORD-00310,EXACT,100.0,0.0,,
TXN-00443,ORD-00357,EXACT,100.0,0.0,,
TXN-00444,ORD-00401,EXACT,100.0,0.0,,
TXN-00445,ORD-00231,EXACT,100.0,0.0,,
TXN-00446,ORD-00058,EXACT,100.0,0.0,,
TXN-00447,ORD-00061,EXACT,100.0,0.0,,
TXN-00448,ORD-00233,EXACT,100.0,0.0,,
TXN-00449,ORD-00334,EXACT,100.0,0.0,,
TXN-00450,ORD-00396,EXACT,100.0,0.0,,
TXN-00452,ORD-00064,EXACT,100.0,0.0,,
TXN-00453,ORD-00372,EXACT,100.0,0.0,,
TXN-00454,ORD-00241,EXACT,100.0,0.0,,
TXN-00456,ORD-00384,EXACT,100.0,0.0,,
TXN-00457,ORD-00042,EXACT,100.0,0.0,,
TXN-00458,ORD-00069,EXACT,100.0,0.0,,
TXN-00459,ORD-00195,EXACT,100.0,0.0,,
TXN-00462,ORD-00390,EXACT,100.0,0.0,,
TXN-00463,ORD-00044,EXACT,100.0,0.0,,
TXN-00464,ORD-00367,EXACT,100.0,0.0,,
TXN-00465,ORD-00306,EXACT,100.0,0.0,,
TXN-00466,ORD-00149,EXACT,100.0,0.0,,
TXN-00467,ORD-00171,EXACT,100.0,0.0,,
TXN-00468,ORD-00351,EXACT,100.0,0.0,,
TXN-00470,ORD-00358,EXACT,100.0,0.0,,
TXN-00471,ORD-00153,EXACT,100.0,0.0,,
TXN-00472,ORD-00285,EXACT,100.0,0.0,,
TXN-00475,ORD-00101,EXACT,100.0,0.0,,
TXN-00480,ORD-00438,EXACT,100.0,0.0,,
TXN-00482,ORD-00479,EXACT,100.0,0.0,,
TXN-00483,ORD-00108,EXACT,100.0,0.0,,
TXN-00484,ORD-00158,EXACT,100.0,0.0,,
TXN-00485,ORD-00062,EXACT,100.0,0.0,,
TXN-00487,ORD-00266,EXACT,100.0,0.0,,
TXN-00011,ORD-00480,ML_MATCH,77.58,1271.34,3.9187,"ML match: partial reference similarity (75.0%, refs differ); amount diff 3.92% (outside normal fee band); same-day settlement"
TXN-00014,ORD-00151,ML_MATCH,100.0,787.89,2.54,ML match: exact reference match (ref similarity 100.0%); amount within 1-3% fee band (2.54% diff); same-day settlement
TXN-00017,ORD-00441,ML_MATCH,100.0,2828.07,1.14,ML match: exact reference match (ref similarity 100.0%); amount within 1-3% fee band (1.14% diff); same-day settlement
TXN-00019,ORD-00221,ML_MATCH,100.0,0.0,0.0,ML match: exact reference match (ref similarity 100.0%); identical amounts; 1-day date gap
TXN-00020,ORD-00244,ML_MATCH,78.87,0.0,0.0,"ML match: partial reference similarity (75.0%, refs differ); identical amounts; same-day settlement"
TXN-00021,ORD-00040,ML_MATCH,76.66,-16743.69,-6.6006,"ML match: partial reference similarity (75.0%, refs differ); amount diff 6.60% (outside normal fee band); same-day settlement"
TXN-00024,ORD-00317,ML_MATCH,100.0,3092.19,1.35,ML match: exact reference match (ref similarity 100.0%); amount within 1-3% fee band (1.35% diff); same-day settlement
TXN-00032,ORD-00487,ML_MATCH,78.87,0.0,0.0,"ML match: partial reference similarity (75.0%, refs differ); identical amounts; same-day settlement"
TXN-00034,ORD-00194,ML_MATCH,99.99,0.0,0.0,ML match: exact reference match (ref similarity 100.0%); identical amounts; 2-day date gap
TXN-00037,ORD-00045,ML_MATCH,100.0,4730.37,2.66,ML match: exact reference match (ref similarity 100.0%); amount within 1-3% fee band (2.66% diff); same-day settlement
TXN-00038,ORD-00135,ML_MATCH,78.87,0.0,0.0,"ML match: partial reference similarity (75.0%, refs differ); identical amounts; same-day settlement"
TXN-00051,ORD-00369,ML_MATCH,100.0,2474.77,1.57,ML match: exact reference match (ref similarity 100.0%); amount within 1-3% fee band (1.57% diff); same-day settlement
TXN-00059,ORD-00321,ML_MATCH,100.0,541.34,2.92,ML match: exact reference match (ref similarity 100.0%); amount within 1-3% fee band (2.92% diff); same-day settlement
TXN-00066,ORD-00426,ML_MATCH,99.99,0.0,0.0,ML match: exact reference match (ref similarity 100.0%); identical amounts; 2-day date gap
TXN-00070,ORD-00331,ML_MATCH,100.0,2992.79,1.99,ML match: exact reference match (ref similarity 100.0%); amount within 1-3% fee band (1.99% diff); same-day settlement
TXN-00072,ORD-00393,ML_MATCH,99.95,0.0,0.0,ML match: exact reference match (ref similarity 100.0%); identical amounts; 3-day date gap
TXN-00076,ORD-00224,ML_MATCH,99.99,0.0,0.0,ML match: exact reference match (ref similarity 100.0%); identical amounts; 2-day date gap
TXN-00077,ORD-00205,ML_MATCH,78.87,0.0,0.0,"ML match: partial reference similarity (75.0%, refs differ); identical amounts; same-day settlement"
TXN-00082,ORD-00063,ML_MATCH,99.99,0.0,0.0,ML match: exact reference match (ref similarity 100.0%); identical amounts; 2-day date gap
TXN-00083,ORD-00019,ML_MATCH,100.0,962.43,2.13,ML match: exact reference match (ref similarity 100.0%); amount within 1-3% fee band (2.13% diff); same-day settlement
TXN-00084,ORD-00488,ML_MATCH,100.0,3969.8,1.69,ML match: exact reference match (ref similarity 100.0%); amount within 1-3% fee band (1.69% diff); same-day settlement
TXN-00087,ORD-00162,ML_MATCH,99.95,0.0,0.0,ML match: exact reference match (ref similarity 100.0%); identical amounts; 3-day date gap
TXN-00090,ORD-00458,ML_MATCH,100.0,2022.06,1.91,ML match: exact reference match (ref similarity 100.0%); amount within 1-3% fee band (1.91% diff); same-day settlement
TXN-00091,ORD-00157,ML_MATCH,99.99,0.0,0.0,ML match: exact reference match (ref similarity 100.0%); identical amounts; 2-day date gap
TXN-00093,ORD-00295,ML_MATCH,100.0,2316.74,2.72,ML match: exact reference match (ref similarity 100.0%); amount within 1-3% fee band (2.72% diff); same-day settlement
TXN-00094,ORD-00292,ML_MATCH,78.87,0.0,0.0,"ML match: partial reference similarity (75.0%, refs differ); identical amounts; same-day settlement"
TXN-00102,ORD-00200,ML_MATCH,100.0,4107.63,2.37,ML match: exact reference match (ref similarity 100.0%); amount within 1-3% fee band (2.37% diff); same-day settlement
TXN-00103,ORD-00177,ML_MATCH,100.0,0.0,0.0,ML match: exact reference match (ref similarity 100.0%); identical amounts; 1-day date gap
TXN-00108,ORD-00455,ML_MATCH,100.0,6339.74,2.4,ML match: exact reference match (ref similarity 100.0%); amount within 1-3% fee band (2.40% diff); same-day settlement
TXN-00113,ORD-00182,ML_MATCH,99.99,0.0,0.0,ML match: exact reference match (ref similarity 100.0%); identical amounts; 2-day date gap
TXN-00122,ORD-00389,ML_MATCH,100.0,3350.39,1.67,ML match: exact reference match (ref similarity 100.0%); amount within 1-3% fee band (1.67% diff); same-day settlement
TXN-00125,ORD-00415,ML_MATCH,100.0,0.0,0.0,ML match: exact reference match (ref similarity 100.0%); identical amounts; 1-day date gap
TXN-00129,ORD-00223,ML_MATCH,100.0,2417.1,1.68,ML match: exact reference match (ref similarity 100.0%); amount within 1-3% fee band (1.68% diff); same-day settlement
TXN-00133,ORD-00332,ML_MATCH,100.0,881.8,1.3,ML match: exact reference match (ref similarity 100.0%); amount within 1-3% fee band (1.30% diff); same-day settlement
TXN-00135,ORD-00286,ML_MATCH,100.0,0.0,0.0,ML match: exact reference match (ref similarity 100.0%); identical amounts; 1-day date gap
TXN-00138,ORD-00366,ML_MATCH,100.0,1622.98,2.35,ML match: exact reference match (ref similarity 100.0%); amount within 1-3% fee band (2.35% diff); same-day settlement
TXN-00139,ORD-00337,ML_MATCH,100.0,390.18,1.5,ML match: exact reference match (ref similarity 100.0%); amount within 1-3% fee band (1.50% diff); same-day settlement
TXN-00143,ORD-00105,ML_MATCH,100.0,90.06,1.5899,ML match: exact reference match (ref similarity 100.0%); amount within 1-3% fee band (1.59% diff); same-day settlement
TXN-00146,ORD-00399,ML_MATCH,100.0,2923.85,2.38,ML match: exact reference match (ref similarity 100.0%); amount within 1-3% fee band (2.38% diff); same-day settlement
TXN-00151,ORD-00156,ML_MATCH,99.99,0.0,0.0,ML match: exact reference match (ref similarity 100.0%); identical amounts; 2-day date gap
TXN-00152,ORD-00139,ML_MATCH,100.0,637.84,2.44,ML match: exact reference match (ref similarity 100.0%); amount within 1-3% fee band (2.44% diff); same-day settlement
TXN-00154,ORD-00489,ML_MATCH,99.95,0.0,0.0,ML match: exact reference match (ref similarity 100.0%); identical amounts; 3-day date gap
TXN-00156,ORD-00410,ML_MATCH,100.0,4807.7,2.51,ML match: exact reference match (ref similarity 100.0%); amount within 1-3% fee band (2.51% diff); same-day settlement
TXN-00160,ORD-00404,ML_MATCH,100.0,3972.92,2.39,ML match: exact reference match (ref similarity 100.0%); amount within 1-3% fee band (2.39% diff); same-day settlement
TXN-00164,ORD-00129,ML_MATCH,100.0,3108.46,1.54,ML match: exact reference match (ref similarity 100.0%); amount within 1-3% fee band (1.54% diff); same-day settlement
TXN-00170,ORD-00023,ML_MATCH,72.67,15616.37,10.0,"ML match: partial reference similarity (75.0%, refs differ); amount diff 17.52% (outside normal fee band); same-day settlement"
TXN-00178,ORD-00187,ML_MATCH,100.0,418.69,1.09,ML match: exact reference match (ref similarity 100.0%); amount within 1-3% fee band (1.09% diff); same-day settlement
TXN-00179,ORD-00345,ML_MATCH,100.0,3472.9,1.36,ML match: exact reference match (ref similarity 100.0%); amount within 1-3% fee band (1.36% diff); same-day settlement
TXN-00181,ORD-00025,ML_MATCH,100.0,4441.03,1.8,ML match: exact reference match (ref similarity 100.0%); amount within 1-3% fee band (1.80% diff); same-day settlement
TXN-00184,ORD-00456,ML_MATCH,100.0,4735.77,2.55,ML match: exact reference match (ref similarity 100.0%); amount within 1-3% fee band (2.55% diff); same-day settlement
TXN-00188,ORD-00485,ML_MATCH,99.99,0.0,0.0,ML match: exact reference match (ref similarity 100.0%); identical amounts; 2-day date gap
TXN-00192,ORD-00313,ML_MATCH,100.0,5209.84,2.19,ML match: exact reference match (ref similarity 100.0%); amount within 1-3% fee band (2.19% diff); same-day settlement
TXN-00206,ORD-00179,ML_MATCH,100.0,2132.41,2.62,ML match: exact reference match (ref similarity 100.0%); amount within 1-3% fee band (2.62% diff); same-day settlement
